id,title,description,thumbnail_url,infographic_url,url,path
61b39f72-9718-477b-ba4b-7125cd5c2989,Baby Proof Infographic,,,https://oliviahealth.org/wp-content/uploads/Baby-Proof-Infographic_BB.pdf,,infographics/61b39f72-9718-477b-ba4b-7125cd5c2989-Baby-Proof-Infographic_BB.pdf
ef078315-a3ed-45c8-bdae-fee8519e0a07,Signs Of Ovulation,,,https://oliviahealth.org/wp-content/uploads/Signs-of-Ovulation_BB.pdf,,infographics/ef078315-a3ed-45c8-bdae-fee8519e0a07-Signs-of-Ovulation_BB.pdf
9208dddd-5249-4614-9ee9-caf329ce6637,Signs Of Labor,,,https://oliviahealth.org/wp-content/uploads/Signs-Of-Labor_BB-1.pdf,,infographics/9208dddd-5249-4614-9ee9-caf329ce6637-Signs-Of-Labor_BB-1.pdf
36fee63b-234b-43b4-aa4b-3885df2731a9,Dads And PPD,,,https://oliviahealth.org/wp-content/uploads/Dads-And-PPD_BB.pdf,,infographics/36fee63b-234b-43b4-aa4b-3885df2731a9-Dads-And-PPD_BB.pdf
fa9ff012-9f1b-43ba-8489-af918a2d491b,Neonatal Opioid Withdrawal Syndrome,,,https://oliviahealth.org/wp-content/uploads/Neonatal-opioid-withdrawl-sydnrome.pdf,,infographics/fa9ff012-9f1b-43ba-8489-af918a2d491b-Neonatal-opioid-withdrawl-sydnrome.pdf
b3844061-23ae-41c9-b331-d4f0f547e9b9,Postpartum UTI,,,https://oliviahealth.org/wp-content/uploads/Postpartum-UTI_BB.pdf,,infographics/b3844061-23ae-41c9-b331-d4f0f547e9b9-Postpartum-UTI_BB.pdf
a10d1b33-1531-4ca2-9955-085a58902fc6,Circumcisions,,,https://oliviahealth.org/wp-content/uploads/Circumcisions_BB.pdf,,infographics/a10d1b33-1531-4ca2-9955-085a58902fc6-Circumcisions_BB.pdf
b2b46f76-9909-4a3f-a58d-9535e900637e,Can You Get Pregnant On Your Period Infographic,,,https://oliviahealth.org/wp-content/uploads/2023/04/CanYouGetPregnantOnYourPeriodInfographic_BB-1-1.png,,infographics/b2b46f76-9909-4a3f-a58d-9535e900637e-CanYouGetPregnantOnYourPeriodInfographic_BB-1-1.png
f749be3c-e32f-4d5e-a94b-6b19591cdb38,Preeclampsia Infographic,,,https://oliviahealth.org/wp-content/uploads/Preeclampsia-Infographic_BB.pdf,,infographics/f749be3c-e32f-4d5e-a94b-6b19591cdb38-Preeclampsia-Infographic_BB.pdf
1eb5b577-3140-4c8e-b892-87a0abe52352,Types Of Breech,,,https://oliviahealth.org/wp-content/uploads/Types-Of-Breech_BB.pdf,,infographics/1eb5b577-3140-4c8e-b892-87a0abe52352-Types-Of-Breech_BB.pdf
